SITE_SOURCE_ID;SITE_NAME;WEB_IMAGES;IMAGE_COUNT;SOURCE_PDFS
drive-17fea53472d8;Kovher Cave;/iiif/manifests/sites/drive-17fea53472d8.json;2;MicrolithsWadjak.pdf | WajakSkulls.pdf
drive-af6dd3eea824;Kume Shimojibaru Cave;;0;OnoPawlik2024_ThePrehistoryofHumanMigration_IntechOpen_105160.pdf | s10814-020-09149-7.pdf
drive-9c2d8e7fc744;Leang Alla Masigi The;;0;
drive-e5f38a1b4d7a;Leang Arandangana Kabaruan;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-c6a27460a88f;Leang Balangingi Karakelong;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-da86557928c2;Leang Barugayya Maros;;0;StencilsBoatsMunaIsland.pdf | archaeologysulawesi.pdf
drive-0be58cfe3788;Leang Buida Kabaruan;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-99d094ec4905;Leang Buida Leang Buida;;0;DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf | archaeologysulawesi.pdf
drive-65d7d7b8796c;Leang Buida One;/iiif/manifests/sites/drive-65d7d7b8796c.json;3;DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf | archaeologysulawesi.pdf
drive-d04af2d90651;Leang Buida. A;/iiif/manifests/sites/drive-d04af2d90651.json;2;DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf | archaeologysulawesi.pdf
drive-b15ae6b4a0d4;Leang Buida. Also;;0;DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf | archaeologysulawesi.pdf
drive-dc6e055be2d4;Leang Buida. Excluding;/iiif/manifests/sites/drive-dc6e055be2d4.json;3;DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf | archaeologysulawesi.pdf
drive-f018de7a477a;Leang Buida. Since;/iiif/manifests/sites/drive-f018de7a477a.json;3;DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf | archaeologysulawesi.pdf
drive-1f026bd73066;Leang Buida. Source;/iiif/manifests/sites/drive-1f026bd73066.json;3;DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf | archaeologysulawesi.pdf
drive-f98637bf5724;Leang Buida. Table;;0;DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf | archaeologysulawesi.pdf
drive-00d61510f16b;Leang Buida. The;;0;DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf | archaeologysulawesi.pdf
drive-c4646ff5d053;Leang Buidane Salebabu;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-d5023905eeb2;Leang Buida’s;/iiif/manifests/sites/drive-d5023905eeb2.json;2;DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf | archaeologysulawesi.pdf
drive-8d84f2b6c0c1;Leang Bulu;;0;Laporan_Karst_Lengkap1.pdf | PT-Semen-ENG.pdf
drive-c672f918e3d9;Leang Bulu Bettue Sulawesi U-Series;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-63f9e420c85e;Leang Bulu Bettue. Hence;;0;PleistoceneHSapSulawesi.pdf | homoSap_SSul.pdf
drive-8512e330bc5d;Leang Bulu Bettue. Stalagm;;0;PleistoceneHSapSulawesi.pdf | homoSap_SSul.pdf
