candidate_type,dataset,SITE_SOURCE_ID_1,SITE_NAME_1,LONGITUDE_1,LATITUDE_1,SITE_SOURCE_ID_2,SITE_NAME_2,LONGITUDE_2,LATITUDE_2,notes
cross_dataset_same_coords,V3+V4,0b6dfef5-4965-48b6-97a3-e7777cc4d8d8,Gua Maccina,119.613333,-4.803333,0b6dfef5-4965-48b6-97a3-e7777cc4d8d8, Gua Maccina                       ,119.613333,-4.803333,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,b294059c-52bb-4479-89f3-994177ea1d19,Gua Saluka,119.615833,-4.816111,b294059c-52bb-4479-89f3-994177ea1d19, Gua Saluka                        ,119.615833,-4.816111,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,031b937e-3222-4ebd-8d79-ab8f0702804f,Gua Pamelakang Tedong,119.521667,-4.798333,031b937e-3222-4ebd-8d79-ab8f0702804f, Gua Pamelakang Tedong             ,119.521667,-4.798333,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,07a99665-c107-493e-a329-011c2916987e,Gua Lasitae,119.525,-4.794444,07a99665-c107-493e-a329-011c2916987e, Gua Lasitae                       ,119.525,-4.794444,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,71a9872c-2506-4ae8-b845-12070a117d6c,Gua Pabujangang,119.526944,-4.797222,71a9872c-2506-4ae8-b845-12070a117d6c, Gua Pabujangang                   ,119.526944,-4.797222,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,2cc6e9e9-0037-4618-afc9-e7c8d8f2adcd,Gua Bawię,119.602833,-4.847361,2cc6e9e9-0037-4618-afc9-e7c8d8f2adcd, Gua Bawię                         ,119.602833,-4.847361,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,2cc6e9e9-0037-4618-afc9-e7c8d8f2adcd,Gua Bawię,119.602833,-4.847361,61de236b-8487-4d74-bb35-86dd7d0b28bc, Leang Bawię                       ,119.602833,-4.847361,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,a4213939-7563-42c0-a2c1-b21a9edc7768,Gua Biring Ere,119.613333,-4.78,a4213939-7563-42c0-a2c1-b21a9edc7768, Gua Biring Ere                    ,119.613333,-4.78,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,dc51c5f9-cb10-4b3d-b83d-04762a62d9cb,Gua Buto,119.584722,-4.831194,dc51c5f9-cb10-4b3d-b83d-04762a62d9cb, Gua Buto                          ,119.584722,-4.831194,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,53868e1b-db65-476d-acdd-42b4af750fd2,Gua Pattennung,119.592694,-4.835444,53868e1b-db65-476d-acdd-42b4af750fd2, Gua Pattennung                    ,119.592694,-4.835444,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,96c24c41-a7c0-4819-bb9e-264166b76031,Gua Alla Pusae,119.671139,-4.986694,96c24c41-a7c0-4819-bb9e-264166b76031, Gua Alla Pusae                    ,119.671139,-4.986694,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,7048a32d-d551-4068-9881-ef835e5bbc80,Gua Alle Bireng,119.682889,-4.971139,7048a32d-d551-4068-9881-ef835e5bbc80, Gua Alle Bireng                   ,119.682889,-4.971139,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,623fcab4-3ddb-4d8e-9d37-5920d20cffd6,Leang Ambe Pacco,119.669778,-4.987444,623fcab4-3ddb-4d8e-9d37-5920d20cffd6, Leang Ambe Pacco                  ,119.669778,-4.987444,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,2cd8675e-cf50-42fb-b0da-dba629e2545f,Leang Akkarasa,119.616667,-4.921667,2cd8675e-cf50-42fb-b0da-dba629e2545f, Leang Akkarasa                    ,119.616667,-4.921667,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,02142966-4383-4374-bb68-81a6ff7b6786,Leang Balang,119.645833,-4.990556,02142966-4383-4374-bb68-81a6ff7b6786, Leang Balang                      ,119.645833,-4.990556,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,01bbc32a-7ac9-459f-b770-6207a81d2dba,Leang Barugayya,119.656667,-4.995,01bbc32a-7ac9-459f-b770-6207a81d2dba, Leang Barugayya                   ,119.656667,-4.995,Same coordinates across datasets
