IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
468;Production;Stone;Workshop;Tools;Grès;http://ark.frantiq.fr/ark:/26678/pcrtR1s94Zuaul;14936;http://vocab.getty.edu/page/aat/300011376
469;Production;Stone;Workshop;Tools;Calcaire;http://ark.frantiq.fr/ark:/26678/pcrtc1Ueky7Zpg;13704;http://vocab.getty.edu/page/aat/300011286
470;Production;Stone;Workshop;Tools;Basalte;http://ark.frantiq.fr/ark:/26678/pcrtctuE9VNJOc;13541;http://vocab.getty.edu/page/aat/300011222
471;Production;Stone;Workshop;Tools;Rhyolite;http://ark.frantiq.fr/ark:/26678/pcrtXVZBob53by;27632;http://vocab.getty.edu/page/aat/300011211
472;Production;Stone;Workshop;Tools;Silex;http://ark.frantiq.fr/ark:/26678/pcrtIzSUofuocv;16943;http://vocab.getty.edu/page/aat/300011143
473;Production;Stone;Workshop;Tools;Others;;;
474;Production;Stone;Extraction;;;https://ark.frantiq.fr/ark:/26678/pcrtXk6sdvTjnE;13755;http://vocab.getty.edu/page/aat/300000402
475;Production;Stone;Extraction;Millstone;;https://ark.frantiq.fr/ark:/26678/pcrt1Gqf0UzaZ3;15649;http://vocab.getty.edu/page/aat/300185256
476;Production;Stone;Extraction;Millstone;Grès;http://ark.frantiq.fr/ark:/26678/pcrtR1s94Zuaul;14936;http://vocab.getty.edu/page/aat/300011376
477;Production;Stone;Extraction;Millstone;Calcaire;http://ark.frantiq.fr/ark:/26678/pcrtc1Ueky7Zpg;13704;http://vocab.getty.edu/page/aat/300011286
478;Production;Stone;Extraction;Millstone;Basalte;http://ark.frantiq.fr/ark:/26678/pcrtctuE9VNJOc;13541;http://vocab.getty.edu/page/aat/300011222
479;Production;Stone;Extraction;Millstone;Rhyolite;http://ark.frantiq.fr/ark:/26678/pcrtXVZBob53by;27632;http://vocab.getty.edu/page/aat/300011211
480;Production;Stone;Extraction;Millstone;Silex;http://ark.frantiq.fr/ark:/26678/pcrtIzSUofuocv;16943;http://vocab.getty.edu/page/aat/300011143
481;Production;Stone;Extraction;Millstone;Others;;;
482;Production;Stone;Extraction;Architecture;;https://ark.frantiq.fr/ark:/26678/pcrtQuZiT5nYY2;14070;http://vocab.getty.edu/page/aat/300014857
483;Production;Stone;Extraction;Architecture;Grès;http://ark.frantiq.fr/ark:/26678/pcrtR1s94Zuaul;14936;http://vocab.getty.edu/page/aat/300011376
484;Production;Stone;Extraction;Architecture;Calcaire;http://ark.frantiq.fr/ark:/26678/pcrtc1Ueky7Zpg;13704;http://vocab.getty.edu/page/aat/300011286
485;Production;Stone;Extraction;Architecture;Basalte;http://ark.frantiq.fr/ark:/26678/pcrtctuE9VNJOc;13541;http://vocab.getty.edu/page/aat/300011222
486;Production;Stone;Extraction;Architecture;Rhyolite;http://ark.frantiq.fr/ark:/26678/pcrtXVZBob53by;27632;http://vocab.getty.edu/page/aat/300011211
487;Production;Stone;Extraction;Architecture;Silex;http://ark.frantiq.fr/ark:/26678/pcrtIzSUofuocv;16943;http://vocab.getty.edu/page/aat/300011143
488;Production;Stone;Extraction;Architecture;Others;;;
489;Production;Stone;Extraction;Tools;;https://ark.frantiq.fr/ark:/26678/pcrtxs8Kml8jLw;16050;http://vocab.getty.edu/page/aat/300024841
490;Production;Stone;Extraction;Tools;Grès;http://ark.frantiq.fr/ark:/26678/pcrtR1s94Zuaul;14936;http://vocab.getty.edu/page/aat/300011376
491;Production;Stone;Extraction;Tools;Calcaire;http://ark.frantiq.fr/ark:/26678/pcrtc1Ueky7Zpg;13704;http://vocab.getty.edu/page/aat/300011286
492;Production;Stone;Extraction;Tools;Basalte;http://ark.frantiq.fr/ark:/26678/pcrtctuE9VNJOc;13541;http://vocab.getty.edu/page/aat/300011222
493;Production;Stone;Extraction;Tools;Rhyolite;http://ark.frantiq.fr/ark:/26678/pcrtXVZBob53by;27632;http://vocab.getty.edu/page/aat/300011211
494;Production;Stone;Extraction;Tools;Silex;http://ark.frantiq.fr/ark:/26678/pcrtIzSUofuocv;16943;http://vocab.getty.edu/page/aat/300011143
495;Production;Stone;Extraction;Tools;Others;;;
496;Production;Stone;Not specified;;;;;
497;Production;Stone;Not specified;Millstone;;https://ark.frantiq.fr/ark:/26678/pcrt1Gqf0UzaZ3;15649;http://vocab.getty.edu/page/aat/300185256
498;Production;Stone;Not specified;Millstone;Grès;http://ark.frantiq.fr/ark:/26678/pcrtR1s94Zuaul;14936;http://vocab.getty.edu/page/aat/300011376
499;Production;Stone;Not specified;Millstone;Calcaire;http://ark.frantiq.fr/ark:/26678/pcrtc1Ueky7Zpg;13704;http://vocab.getty.edu/page/aat/300011286
500;Production;Stone;Not specified;Millstone;Basalte;http://ark.frantiq.fr/ark:/26678/pcrtctuE9VNJOc;13541;http://vocab.getty.edu/page/aat/300011222
501;Production;Stone;Not specified;Millstone;Rhyolite;http://ark.frantiq.fr/ark:/26678/pcrtXVZBob53by;27632;http://vocab.getty.edu/page/aat/300011211
502;Production;Stone;Not specified;Millstone;Silex;http://ark.frantiq.fr/ark:/26678/pcrtIzSUofuocv;16943;http://vocab.getty.edu/page/aat/300011143
503;Production;Stone;Not specified;Millstone;Others;;;
504;Production;Stone;Not specified;Architecture;;https://ark.frantiq.fr/ark:/26678/pcrtKJVpuP3AET;13289;http://vocab.getty.edu/page/aat/300014857
505;Production;Stone;Not specified;Architecture;Grès;http://ark.frantiq.fr/ark:/26678/pcrtR1s94Zuaul;14936;http://vocab.getty.edu/page/aat/300011376
506;Production;Stone;Not specified;Architecture;Calcaire;http://ark.frantiq.fr/ark:/26678/pcrtc1Ueky7Zpg;13704;http://vocab.getty.edu/page/aat/300011286
507;Production;Stone;Not specified;Architecture;Basalte;http://ark.frantiq.fr/ark:/26678/pcrtctuE9VNJOc;13541;http://vocab.getty.edu/page/aat/300011222
508;Production;Stone;Not specified;Architecture;Rhyolite;http://ark.frantiq.fr/ark:/26678/pcrtXVZBob53by;27632;http://vocab.getty.edu/page/aat/300011211
509;Production;Stone;Not specified;Architecture;Silex;http://ark.frantiq.fr/ark:/26678/pcrtIzSUofuocv;16943;http://vocab.getty.edu/page/aat/300011143
510;Production;Stone;Not specified;Architecture;Others;;;
511;Production;Stone;Not specified;Tools;;https://ark.frantiq.fr/ark:/26678/pcrtxs8Kml8jLw;16050;http://vocab.getty.edu/page/aat/300024841
512;Production;Stone;Not specified;Tools;Grès;http://ark.frantiq.fr/ark:/26678/pcrtR1s94Zuaul;14936;http://vocab.getty.edu/page/aat/300011376
513;Production;Stone;Not specified;Tools;Calcaire;http://ark.frantiq.fr/ark:/26678/pcrtc1Ueky7Zpg;13704;http://vocab.getty.edu/page/aat/300011286
514;Production;Stone;Not specified;Tools;Basalte;http://ark.frantiq.fr/ark:/26678/pcrtctuE9VNJOc;13541;http://vocab.getty.edu/page/aat/300011222
515;Production;Stone;Not specified;Tools;Rhyolite;http://ark.frantiq.fr/ark:/26678/pcrtXVZBob53by;27632;http://vocab.getty.edu/page/aat/300011211
516;Production;Stone;Not specified;Tools;Silex;http://ark.frantiq.fr/ark:/26678/pcrtIzSUofuocv;16943;http://vocab.getty.edu/page/aat/300011143
517;Production;Stone;Not specified;Tools;Others;;;
518;Production;Stone;Lime;;;http://ark.frantiq.fr/ark:/26678/pcrtERMm8Q0wYw;13847;http://vocab.getty.edu/page/aat/300011740
519;Production;Coal;;;;https://ark.frantiq.fr/ark:/26678/pcrtmsvDnRnsoA;155890;http://vocab.getty.edu/page/aat/300000396
520;Production;Salt;;;;https://ark.frantiq.fr/ark:/26678/pcrtYHA8kKMYt9;14678;http://vocab.getty.edu/page/aat/300045537
521;Production;Glass;;;;https://ark.frantiq.fr/ark:/26678/pcrt125sJ3jsbN;17244;http://vocab.getty.edu/page/aat/300053929
522;Production;Others;;;;;;
